,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
13,GO_Biological_Process_2021,cellular response to cholesterol (GO:0071397),2/11,0.0031349527155465,0.2331061269202832,0,0,28.81045751633987,166.0963552659853,OSBPL7;GPLD1
14,GO_Biological_Process_2021,positive regulation of neuron differentiation (GO:0045666),3/43,0.004489766813554,0.3115898168606521,0,0,9.77220394736842,52.828090033158816,IMPACT;NEUROG1;BEND6
15,GO_Biological_Process_2021,endoplasmic reticulum tubular network organization (GO:0071786),2/15,0.0058645211069789,0.350246211804314,0,0,19.941679235796883,102.47698830558303,REEP1;RAB18
16,GO_Biological_Process_2021,cellular response to sterol (GO:0036315),2/16,0.0066683987625744,0.350246211804314,0,0,18.516339869281047,92.77381587987476,OSBPL7;GPLD1
17,GO_Biological_Process_2021,endocytic recycling (GO:0032456),3/52,0.0076431053932976,0.350246211804314,0,0,7.973684210526316,38.86334847023619,DENND1C;MICALL1;WASHC2C
18,GO_Biological_Process_2021,acidic amino acid transport (GO:0015800),2/18,0.0084164685042253,0.350246211804314,0,0,16.200163398692812,77.39733293925609,SLC9A3R1;SLC1A1
19,GO_Biological_Process_2021,cellular response to pH (GO:0071467),2/18,0.0084164685042253,0.350246211804314,0,0,16.200163398692812,77.39733293925609,IMPACT;GPLD1
20,GO_Biological_Process_2021,positive regulation of excitatory postsynaptic potential (GO:2000463),2/18,0.0084164685042253,0.350246211804314,0,0,16.200163398692812,77.39733293925609,RIMS1;STX1B
21,GO_Biological_Process_2021,"synaptic transmission, glutamatergic (GO:0035249)",2/18,0.0084164685042253,0.350246211804314,0,0,16.200163398692812,77.39733293925609,GRIK4;CDH8
22,GO_Biological_Process_2021,folic acid metabolic process (GO:0046655),2/19,0.0093591344240522,0.350246211804314,0,0,15.24644367550942,71.2222746266767,ALDH1L1;MTHFD2L
23,GO_Biological_Process_2021,response to cholesterol (GO:0070723),2/19,0.0093591344240522,0.350246211804314,0,0,15.24644367550942,71.2222746266767,OSBPL7;GPLD1
24,GO_Biological_Process_2021,carboxylic acid transport (GO:0046942),3/57,0.0098392946561788,0.350246211804314,0,0,7.233552631578948,33.428932179743015,SLC23A2;SLC1A1;SLC38A6
25,GO_Biological_Process_2021,chemical synaptic transmission (GO:0007268),7/306,0.009976781494706,0.350246211804314,0,0,3.091882852752418,14.245833968979277,CHRM3;RIMS1;SLC12A5;NOVA1;SLC1A1;GRIK4;CDH8
26,GO_Biological_Process_2021,folic acid-containing compound metabolic process (GO:0006760),2/20,0.0103465517369631,0.350246211804314,0,0,14.398692810457517,65.81789321952054,ALDH1L1;MTHFD2L
27,GO_Biological_Process_2021,cation transport (GO:0006812),5/174,0.0115462887414638,0.350246211804314,0,0,3.8808678500986193,17.314069731975135,PANX2;NDFIP2;SLC1A1;SCN2A;SCN3A
28,GO_Biological_Process_2021,protein lipidation (GO:0006497),3/61,0.0118341690506474,0.350246211804314,0,0,6.733325771324864,29.874179063557197,PIGB;MPPE1;GPLD1
29,GO_Biological_Process_2021,amino acid import (GO:0043090),2/22,0.0124526851651479,0.350246211804314,0,0,12.95751633986928,56.82932140040243,SLC9A3R1;SLC1A1
30,GO_Biological_Process_2021,neuronal action potential (GO:0019228),2/22,0.0124526851651479,0.350246211804314,0,0,12.95751633986928,56.82932140040243,SCN2A;SCN3A
31,GO_Biological_Process_2021,negative regulation of cell cycle process (GO:0010948),3/64,0.0134718225129174,0.350246211804314,0,0,6.401207937877481,27.57099475060908,ESPL1;E2F1;AURKB
32,GO_Biological_Process_2021,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0010880),2/23,0.0135699451738065,0.350246211804314,0,0,12.339869281045752,53.06017733400719,PDE4D;CACNA1C
33,GO_Biological_Process_2021,regulation of cellular catabolic process (GO:0031329),3/65,0.0140449342088807,0.350246211804314,0,0,6.297644312393888,26.862560897120517,OSBPL7;IFI16;GPR137
34,GO_Biological_Process_2021,anion transmembrane transport (GO:0098656),3/67,0.0152322518720205,0.350246211804314,0,0,6.100226151315789,25.52542191271736,SLC23A2;SLC1A1;SLC25A4
35,GO_Biological_Process_2021,cellular response to drug (GO:0035690),2/26,0.0171699400330277,0.350246211804314,0,0,10.795751633986928,43.88035915585627,PDE4B;GPLD1
36,GO_Biological_Process_2021,positive regulation of interleukin-2 production (GO:0032743),2/26,0.0171699400330277,0.350246211804314,0,0,10.795751633986928,43.88035915585627,PDE4D;PDE4B
37,GO_Biological_Process_2021,modulation of excitatory postsynaptic potential (GO:0098815),2/27,0.0184503480156957,0.350246211804314,0,0,10.363398692810458,41.37765226269128,RIMS1;STX1B
38,GO_Biological_Process_2021,insulin receptor signaling pathway (GO:0008286),3/73,0.019125238912683,0.350246211804314,0,0,5.5756578947368425,22.061464342671105,ATP6V1A;GPLD1;ATP6V0A1
39,GO_Biological_Process_2021,neutral amino acid transport (GO:0015804),2/28,0.0197698170931865,0.350246211804314,0,0,9.964303670186023,39.095930855617496,SLC1A1;SLC38A6
40,GO_Biological_Process_2021,phagosome acidification (GO:0090383),2/28,0.0197698170931865,0.350246211804314,0,0,9.964303670186023,39.095930855617496,ATP6V1A;ATP6V0A1
41,GO_Biological_Process_2021,gene expression (GO:0010467),7/356,0.0211886583715164,0.350246211804314,0,0,2.642143576240997,10.18358551134996,HHEX;NOVA1;RPL34;E2F1;RPL39;RPS24;THOC6
42,GO_Biological_Process_2021,water-soluble vitamin metabolic process (GO:0006767),3/76,0.0212590124795052,0.350246211804314,0,0,5.345710165825523,20.58619276769925,SLC23A2;ALDH1L1;MTHFD2L
43,GO_Biological_Process_2021,regulation of neuron differentiation (GO:0045664),3/79,0.0235180249647346,0.350246211804314,0,0,5.13391620498615,19.252124839716394,IMPACT;NEUROG1;BEND6
44,GO_Biological_Process_2021,negative regulation of DNA binding (GO:0043392),2/31,0.0239558897463325,0.350246211804314,0,0,8.932161370295244,33.330726969710895,IFI16;E2F1
45,GO_Biological_Process_2021,glycerophospholipid metabolic process (GO:0006650),3/80,0.0242988652116395,0.350246211804314,0,0,5.066985645933015,18.83563560256868,PIGB;PLCB3;GPLD1
46,GO_Biological_Process_2021,protein localization to organelle (GO:0033365),4/142,0.0247396472776259,0.350246211804314,0,0,3.7828966311546215,13.994251727071198,HHEX;MICALL1;WASHC2C;CD68
47,GO_Biological_Process_2021,establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197),2/32,0.0254249416366314,0.350246211804314,0,0,8.633986928104575,31.704212677211423,SLC9A3R1;ANK1
48,GO_Biological_Process_2021,membrane depolarization (GO:0051899),2/32,0.0254249416366314,0.350246211804314,0,0,8.633986928104575,31.704212677211423,SCN2A;SCN3A
49,GO_Biological_Process_2021,negative regulation of JNK cascade (GO:0046329),2/33,0.0269297631411036,0.350246211804314,0,0,8.3550495467004,30.19952015259173,HDAC3;ZMYND11
50,GO_Biological_Process_2021,regulation of neurotransmitter secretion (GO:0046928),2/33,0.0269297631411036,0.350246211804314,0,0,8.3550495467004,30.19952015259173,RIMS1;STX1B
51,GO_Biological_Process_2021,negative regulation of nucleic acid-templated transcription (GO:1903507),8/464,0.0284025679192767,0.350246211804314,0,0,2.313999283924096,8.240789461793625,HHEX;HDAC3;IFI16;NACC2;ZNF219;E2F1;ZMYND11;SMARCA2
52,GO_Biological_Process_2021,intracellular pH reduction (GO:0051452),2/35,0.0300441825997201,0.350246211804314,0,0,7.847890671420084,27.507533506798595,ATP6V1A;ATP6V0A1
53,GO_Biological_Process_2021,negative regulation of binding (GO:0051100),3/88,0.0310453354281075,0.350246211804314,0,0,4.588235294117647,15.931760197200118,IFI16;E2F1;AURKB
54,GO_Biological_Process_2021,regulation of cardiac muscle contraction (GO:0055117),2/36,0.0316525332277574,0.350246211804314,0,0,7.616685890042292,26.299937249191007,PDE4D;PDE4B
55,GO_Biological_Process_2021,embryonic limb morphogenesis (GO:0030326),2/36,0.0316525332277574,0.350246211804314,0,0,7.616685890042292,26.299937249191007,MYH3;CACNA1C
56,GO_Biological_Process_2021,membrane fusion (GO:0061025),2/36,0.0316525332277574,0.350246211804314,0,0,7.616685890042292,26.299937249191007,RIMS1;DNM1
57,GO_Biological_Process_2021,transferrin transport (GO:0033572),2/36,0.0316525332277574,0.350246211804314,0,0,7.616685890042292,26.299937249191007,ATP6V1A;ATP6V0A1
58,GO_Biological_Process_2021,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),3/90,0.0328701170985082,0.350246211804314,0,0,4.4823049001814885,15.30792882831114,RPL34;RPL39;RPS24
59,GO_Biological_Process_2021,negative regulation of stress-activated MAPK cascade (GO:0032873),2/37,0.0332941586660862,0.350246211804314,0,0,7.398692810457517,25.173114968021835,HDAC3;ZMYND11
60,GO_Biological_Process_2021,phagosome maturation (GO:0090382),2/37,0.0332941586660862,0.350246211804314,0,0,7.398692810457517,25.173114968021835,ATP6V1A;ATP6V0A1
61,GO_Biological_Process_2021,regulation of autophagy (GO:0010506),5/231,0.034184640569076,0.350246211804314,0,0,2.8936578171091445,9.768927566430673,ATP6V1A;OSBPL7;IFI16;GPR137;ATP6V0A1
62,GO_Biological_Process_2021,synaptic vesicle endocytosis (GO:0048488),2/38,0.0349684537869782,0.350246211804314,0,0,7.19281045751634,24.11971564183129,DNAJC6;DNM1
63,GO_Biological_Process_2021,cytoplasmic translation (GO:0002181),3/93,0.0357100658075632,0.350246211804314,0,0,4.332236842105263,14.436411060444716,RPL34;RPL39;RPS24
64,GO_Biological_Process_2021,regulation of intracellular transport (GO:0032386),2/39,0.0366748207263118,0.350246211804314,0,0,6.9980568804098215,23.133230599840196,REEP5;ATP9A
65,GO_Biological_Process_2021,cotranslational protein targeting to membrane (GO:0006613),3/94,0.036683987440569,0.350246211804314,0,0,4.284412955465587,14.161762543512785,RPL34;RPL39;RPS24
66,GO_Biological_Process_2021,ADP transport (GO:0015866),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,SLC25A4
67,GO_Biological_Process_2021,regulation of barbed-end actin filament capping (GO:2000812),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,WASHC2C
68,GO_Biological_Process_2021,bile acid secretion (GO:0032782),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,SLC9A3R1
69,GO_Biological_Process_2021,C-terminal protein lipidation (GO:0006501),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,GPLD1
70,GO_Biological_Process_2021,negative regulation of pinocytosis (GO:0048550),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,STX1B
71,GO_Biological_Process_2021,regulation of mitophagy (GO:1901524),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,SLC25A4
72,GO_Biological_Process_2021,DNA protection (GO:0042262),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,NUDT1
73,GO_Biological_Process_2021,peristalsis (GO:0030432),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,NEUROG1
74,GO_Biological_Process_2021,regulation of sodium:proton antiporter activity (GO:0032415),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,SLC9A3R1
75,GO_Biological_Process_2021,regulation of synaptic vesicle priming (GO:0010807),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,STX1B
76,GO_Biological_Process_2021,regulation of vascular associated smooth muscle contraction (GO:0003056),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,CHRM3
77,GO_Biological_Process_2021,glutathione transport (GO:0034635),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,SLC9A3R1
78,GO_Biological_Process_2021,hematopoietic stem cell migration (GO:0035701),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,GPLD1
79,GO_Biological_Process_2021,homoserine metabolic process (GO:0009092),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,MPST
80,GO_Biological_Process_2021,positive regulation of neurotransmitter transport (GO:0051590),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,STX1B
81,GO_Biological_Process_2021,L-aspartate transmembrane transport (GO:0070778),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,SLC1A1
82,GO_Biological_Process_2021,sulfide oxidation (GO:0019418),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,ETHE1
83,GO_Biological_Process_2021,"sulfide oxidation, using sulfide:quinone oxidoreductase (GO:0070221)",1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,ETHE1
84,GO_Biological_Process_2021,thorax and anterior abdomen determination (GO:0007356),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,NEUROG1
85,GO_Biological_Process_2021,membrane depolarization during AV node cell action potential (GO:0086045),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,CACNA1C
86,GO_Biological_Process_2021,transsulfuration (GO:0019346),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,MPST
87,GO_Biological_Process_2021,positive regulation of translation in response to stress (GO:0032056),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,IMPACT
88,GO_Biological_Process_2021,mitochondrial RNA 3'-end processing (GO:0000965),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,TRNT1
89,GO_Biological_Process_2021,postsynaptic endocytosis (GO:0140239),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,DNM1
90,GO_Biological_Process_2021,postsynaptic neurotransmitter receptor internalization (GO:0098884),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,DNM1
91,GO_Biological_Process_2021,"zygotic determination of anterior/posterior axis, embryo (GO:0007354)",1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,NEUROG1
92,GO_Biological_Process_2021,protein localization to microtubule end (GO:1905725),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,MAPRE2
93,GO_Biological_Process_2021,protein localization to microtubule plus-end (GO:1904825),1/5,0.0381575599921209,0.350246211804314,0,0,32.20941558441559,105.19696189979992,MAPRE2
94,GO_Biological_Process_2021,glycolipid biosynthetic process (GO:0009247),2/40,0.0384126688211,0.350246211804314,0,0,6.813553491572067,22.2078779208944,PIGB;MPPE1
95,GO_Biological_Process_2021,positive regulation of intrinsic apoptotic signaling pathway (GO:2001244),2/40,0.0384126688211,0.350246211804314,0,0,6.813553491572067,22.2078779208944,SLC9A3R1;NACC2
96,GO_Biological_Process_2021,synaptic vesicle exocytosis (GO:0016079),2/40,0.0384126688211,0.350246211804314,0,0,6.813553491572067,22.2078779208944,RIMS1;STX1B
97,GO_Biological_Process_2021,carboxylic acid transmembrane transport (GO:1905039),2/41,0.0401814145340901,0.350246211804314,0,0,6.638511814982404,21.33850520091635,SLC23A2;SLC38A6
98,GO_Biological_Process_2021,positive regulation of TOR signaling (GO:0032008),2/41,0.0401814145340901,0.350246211804314,0,0,6.638511814982404,21.33850520091635,HDAC3;GPR137
99,GO_Biological_Process_2021,membrane organization (GO:0061024),5/242,0.0404515402652276,0.350246211804314,0,0,2.757805907172996,8.846077656867392,REEP1;SLC9A3R1;RIMS1;DNAJC6;DNM1
100,GO_Biological_Process_2021,negative regulation of transcription by RNA polymerase II (GO:0000122),10/684,0.0405739302808632,0.350246211804314,0,0,1.9616289777959688,6.286294149001543,IMPACT;HHEX;TGIF2;HDAC3;IFI16;NACC2;ZNF219;E2F1;SMARCA2;AURKB
101,GO_Biological_Process_2021,anterograde trans-synaptic signaling (GO:0098916),5/244,0.0416611449171593,0.350246211804314,0,0,2.7344490934449093,8.690588813957913,CHRM3;SLC12A5;NOVA1;SLC1A1;GRIK4
102,GO_Biological_Process_2021,ATP-dependent chromatin remodeling (GO:0043044),2/42,0.0419804813758262,0.350246211804314,0,0,6.472222222222222,20.520507388964894,ACTL6A;SMARCA2
103,GO_Biological_Process_2021,cellular response to glucose starvation (GO:0042149),2/43,0.0438092998414484,0.350246211804314,0,0,6.314044316913757,19.749757049145234,IMPACT;IFI16
104,GO_Biological_Process_2021,intrinsic apoptotic signaling pathway (GO:0097193),3/102,0.044960400647231,0.350246211804314,0,0,3.936602870813397,12.211236455674046,IFI16;E2F1;SCN2A
105,GO_Biological_Process_2021,negative regulation of cytokinesis (GO:0032466),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,AURKB
106,GO_Biological_Process_2021,negative regulation of fat cell proliferation (GO:0070345),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,E2F1
107,GO_Biological_Process_2021,attachment of GPI anchor to protein (GO:0016255),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,PIGT
108,GO_Biological_Process_2021,regulation of focal adhesion disassembly (GO:0120182),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,MAPRE2
109,GO_Biological_Process_2021,negative regulation of transporter activity (GO:0032410),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,NDFIP2
110,GO_Biological_Process_2021,negative regulation of triglyceride metabolic process (GO:0090209),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,GPLD1
111,GO_Biological_Process_2021,"regulation of retrograde transport, endosome to Golgi (GO:1905279)",1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,ATP9A
112,GO_Biological_Process_2021,regulation of saliva secretion (GO:0046877),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,NEUROG1
113,GO_Biological_Process_2021,gamma-aminobutyric acid transport (GO:0015812),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,SLC9A3R1
114,GO_Biological_Process_2021,positive regulation of focal adhesion disassembly (GO:0120183),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,MAPRE2
115,GO_Biological_Process_2021,positive regulation of heart rate by epinephrine-norepinephrine (GO:0001996),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,PDE4D
116,GO_Biological_Process_2021,histone-serine phosphorylation (GO:0035404),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,AURKB
117,GO_Biological_Process_2021,positive regulation of lipoprotein particle clearance (GO:0010986),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,GPLD1
118,GO_Biological_Process_2021,positive regulation of neurotransmitter secretion (GO:0001956),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,STX1B
119,GO_Biological_Process_2021,taurine metabolic process (GO:0019530),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,CSAD
120,GO_Biological_Process_2021,trigeminal nerve development (GO:0021559),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,NEUROG1
121,GO_Biological_Process_2021,tRNA 3'-end processing (GO:0042780),1/6,0.0456136829085219,0.350246211804314,0,0,25.766233766233768,79.55447177504013,TRNT1
122,GO_Biological_Process_2021,protein targeting to ER (GO:0045047),3/103,0.0460548820689252,0.350246211804314,0,0,3.8970394736842096,11.994781602675967,RPL34;RPL39;RPS24
123,GO_Biological_Process_2021,action potential (GO:0001508),2/45,0.0475539480307998,0.350246211804314,0,0,6.019759841921265,18.335529100477327,SCN2A;SCN3A
124,GO_Biological_Process_2021,regulation of DNA binding (GO:0051101),2/47,0.0514109398314601,0.350246211804314,0,0,5.751633986928105,17.07029919570023,IFI16;E2F1
125,GO_Biological_Process_2021,modulation of chemical synaptic transmission (GO:0050804),3/109,0.0528958321826195,0.350246211804314,0,0,3.6753351539225423,10.803393094267529,RIMS1;STX1B;GRIK4
126,GO_Biological_Process_2021,negative regulation of digestive system process (GO:0060457),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,NEUROG1
127,GO_Biological_Process_2021,AV node cell action potential (GO:0086016),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,CACNA1C
128,GO_Biological_Process_2021,cellular ion homeostasis (GO:0006873),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,SLC12A5
129,GO_Biological_Process_2021,cellular nitrogen compound catabolic process (GO:0044270),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,MPST
130,GO_Biological_Process_2021,regulation of fat cell proliferation (GO:0070344),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,E2F1
131,GO_Biological_Process_2021,cleavage furrow formation (GO:0036089),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,AURKB
132,GO_Biological_Process_2021,creatine metabolic process (GO:0006600),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,CKB
133,GO_Biological_Process_2021,regulation of muscle organ development (GO:0048634),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,NEUROG1
134,GO_Biological_Process_2021,positive regulation of adenylate cyclase activity (GO:0045762),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,CACNA1C
135,GO_Biological_Process_2021,regulation of relaxation of muscle (GO:1901077),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,NEUROG1
136,GO_Biological_Process_2021,gland morphogenesis (GO:0022612),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,SLC9A3R1
137,GO_Biological_Process_2021,glutamine transport (GO:0006868),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,SLC38A6
138,GO_Biological_Process_2021,response to increased oxygen levels (GO:0036296),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,ATP6V1A
139,GO_Biological_Process_2021,positive regulation of interleukin-5 production (GO:0032754),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,PDE4D
140,GO_Biological_Process_2021,hypotonic response (GO:0006971),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,SLC12A5
141,GO_Biological_Process_2021,synaptic vesicle budding from presynaptic endocytic zone membrane (GO:0016185),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,DNM1
142,GO_Biological_Process_2021,synaptic vesicle docking (GO:0016081),1/7,0.0530123784483423,0.350246211804314,0,0,21.47077922077922,63.06461335243215,STX1B
143,GO_Biological_Process_2021,cellular response to alcohol (GO:0097306),2/48,0.0533802129066347,0.350246211804314,0,0,5.626314293833476,16.48687399421364,OSBPL7;GPLD1
144,GO_Biological_Process_2021,regulation of interleukin-2 production (GO:0032663),2/48,0.0533802129066347,0.350246211804314,0,0,5.626314293833476,16.48687399421364,PDE4D;PDE4B
145,GO_Biological_Process_2021,chloride transmembrane transport (GO:1902476),2/50,0.0573976675935087,0.350246211804314,0,0,5.391339869281046,15.407110195493528,SLC12A5;SLC1A1
146,GO_Biological_Process_2021,iron ion transport (GO:0006826),2/50,0.0573976675935087,0.350246211804314,0,0,5.391339869281046,15.407110195493528,ATP6V1A;ATP6V0A1
147,GO_Biological_Process_2021,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",3/113,0.0577130260866144,0.350246211804314,0,0,3.540968899521531,10.099807774774204,RPL34;RPL39;RPS24
148,GO_Biological_Process_2021,intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630),2/51,0.0594448103118574,0.350246211804314,0,0,5.281045751633987,14.90684457102747,IFI16;E2F1
149,GO_Biological_Process_2021,negative regulation of B cell apoptotic process (GO:0002903),1/8,0.0603540856180015,0.350246211804314,0,0,18.4025974025974,51.66578236108292,AURKB
150,GO_Biological_Process_2021,adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway (GO:0007197),1/8,0.0603540856180015,0.350246211804314,0,0,18.4025974025974,51.66578236108292,CHRM3
151,GO_Biological_Process_2021,negative regulation of chromosome organization (GO:2001251),1/8,0.0603540856180015,0.350246211804314,0,0,18.4025974025974,51.66578236108292,ESPL1
152,GO_Biological_Process_2021,aromatic compound catabolic process (GO:0019439),1/8,0.0603540856180015,0.350246211804314,0,0,18.4025974025974,51.66578236108292,TET2
153,GO_Biological_Process_2021,cellular response to epinephrine stimulus (GO:0071872),1/8,0.0603540856180015,0.350246211804314,0,0,18.4025974025974,51.66578236108292,PDE4B
154,GO_Biological_Process_2021,cysteine metabolic process (GO:0006534),1/8,0.0603540856180015,0.350246211804314,0,0,18.4025974025974,51.66578236108292,MPST
155,GO_Biological_Process_2021,dynamin family protein polymerization involved in membrane fission (GO:0003373),1/8,0.0603540856180015,0.350246211804314,0,0,18.4025974025974,51.66578236108292,DNM1
